Question,Answer
I am really old. Can I really learn to play at your school?," PBE started in 2003 as a music school for adults.  Click here ? to read an article by Straits Times on ""Aging with Classes'"
Do I need to read music notes in order to learn from your courses?,Playing solely “by ear” is never a good substitute for the skill of reading music
Do you teach any music theory? Will I learn about proper musical notation?,In order to play the correct notes
I have some classical training or I am learning classical music. Will learning Pop or Jazz Piano at the same time affect my progress?,If you have previously attended some classical piano lessons
 I already have ABRSM Grade 8 in Classical Piano,The ABRSM grading is relevant to classical training
Can my piano instructor teach me how to sing?,It actually depends on the instructor and also whether the student wishes to play and sing. Usually
What is your success rate in training your students?,We are very proud to say that all of our students have benefited from the P.B.E.S™ courses. Many of those that have learnt at our school for a reasonable period of time are now able to play by ear and improvise. We are teaching our students by using a proven international teaching methodology designed since 2003.
What's the difference between your courses and others?,The main difference from a classical training course is that we emphasize and teach improvisation techniques and skills. Although we consider the reading of music notation very important
What songs do you teach in your courses?,We teach our students songs from all the various pop and jazz genres. The PBE fake book used for teaching purposes contains many songs including Pop hits
May I choose the songs I wish to learn?,Yes
May I bring my own songs to learn?,In general
I play for the choir or band at my church. Do you teach Praise & Worship songs as well?,Yes
What does PBES stand for?,P.B.E.S™  = Play By Ear Syllabus (the Study of Contemporary Music Improvisation & Aural Techniques). This teaching methodology was designed with an aim to make the learning of music improvisation accessible to teenagers and adults (regardless of whether they are absolute beginners or musicians with some experience and/or training).
What is your syllabus about?,P.B.E.S™ is a flexible syllabus that provides for customized learning. While it is an organized and structured syllabus where you will learn about chords
 Do you teach kids? How old must a child be to be accepted as a PBE student?,Children between the age of 7-12 yrs old can enroll in the Pop Piano Junior course. Toddlers between the age of 5-6 yrs old can enroll in the Pop Piano Kids course. At the moment
What are music fake sheets? Why does PBES use these?,Music fake sheets are music sheets that are stripped down to their most basic properties. A fake sheet consists of only melody notes (to be played with the right hand) and chord symbols. The reality is that all musicians (other than classical musicians) rely on such fake sheets during their performances
What are music fake books?,A music fake book is simply a compilation of a wide variety of fake sheets.
May I bring my own score sheet to learn during the lesson?,Yes you may
What do you mean by “play by ear”?,Playing by ear actually means improvisation
What is “pop” music compared to “classical” music?,Pop is actually an abbreviation for ‘popular’ or ‘popular music’
Does Pop training replace Classical training in general?,No
When can I start learning Jazz?,Jazz music represents a very advanced genre and is considered to be the highest level of music. Thus
What exactly is Jazz Piano or Jazz genre in general?,Jazz music represents a genre of its own. Jazz originated during the early 20th century among African-American communities
I did Grade 8 classical piano about 10 years ago. Which level should I start with now?,You could probably start at PBES Level 2. Although you may have forgotten much music theory and though your piano playing may be very rusty
 Does your school cover music theory? Are they separate from the practical lessons?,Yes
How is improvisation linked to “playing by ear”?,The word improvisation literally means to play by ear
Why is it important that we all should learn to play by ear?,Music is truly an art
How does a person learn to play by ear?,Simply
Do I have to learn to read notes?,In general
What are P.B.E.S™ approved songs?,As there are approximately billions of songs in existence
Do you provide keyboard (synthesizer) lessons?,Yes
 Can I learn music production online? ,Yes
 Can I study while working full-time? ,Yes. Our courses are designed to fit to your life and not the other way around.
 Do I need a visa to study at United POP Online? ,You do not need a visa to enroll for studying at United POP Online. When it comes to the hands-on live sessions you may need to travel which then may also require to have a Visa. Please make an appointment with us
 Do I need to buy additional software/ hardware? ,This depends on the course/ programme you choose. Please contact us for further information.
 I have studied some courses that relate to some of the subjects already. Is there something like a test of prior knowledge so that I can “skip” a course/speed up my study? ,We are happy to answer this question during a personal consultation as it depends on the type of course and what kind of qualification you have earned.
 Do I have to attend the on-location sessions? ,We strongly recommend to attend them because they are an important part of the course concept. If you can not attend them
 Why decide for United POP? ,United POP is not only a school
 Where to study music production? ,United POP Online is the right way to start your career in music production and audio engineering.
 What if I can not attend one or more of the virtual classroom sessions? ,All virtual classroom sessions will be recorded and you can watch them any time as often as you want.
 Are there any semester breaks? ,No
 Am I allowed to use your music for a commercial purpose?,Yes! You are permitted by our license agreement to use our music commercially as long as you add substantial value to the songs. Read our full license agreement.
 I forgot my password,Sure! Just fill out this simple form and we will e-mail you instructions on choosing a new password.
 Is this website really free? What’s the catch?,Yes it is really free. We promise. Period. There is no catch at all. You sign up for the site and we give you free music. If you still aren’t buying it
 What are the ISRC numbers associated with your songs?,Unfortunately
Is the primary use of the file on a Windows PC or Apple Macintosh system?,Windows
 Do I have to pay any fees for using your music?,No. Our music comes with a royalty-free
 How do I delete my account?,As of right now
 I’m already logged in,This problem typically arises when you have multiple tabs or windows of your Internet browser open to Free Stock Music. In one window you may be logged in while on the other you may be not. If this is the case
 If I use your music,No you do not. If you’d like to
 How do you make money? What’s in it for you?,We are sponsored by a stock footage company called Footage Firm. Because of this sponsorship
 I didn’t receive an email with my password. Where is it?,On rare occasions
 How often do you add new music to the site?,Every Tuesday and Thursday. Occasionally we may take breaks from this schedule
 Can I request certain music for your library?,Sure! We love to get feedback from our users on the types of music they enjoy most — whether that’s genre
 I receive a 403 Forbidden message when I try to download,Usually this happens when trying to download from an older version of Internet Explorer or Opera browsers. Certain versions of these browsers don’t support modern web standards that we used to build our site around. The simplest solution is to use Google Chrome or Mozilla Firefox (both are free browser solutions).
 What is the name of your composer(s) so I can provide proper credit?,We cannot provide individual information about composers because our library is comprised of many songs from many different composers. If you wish to give credit
Would I prefer high-quality sound or small file-size?,High Quality Sound
 Which format do you recommend I download?,The unsatisfying answer is
 How do I change the e-mail address on my account?,You can change your email address via the “Update Profile” page located here. Please note that if you change your e-mail address
 What does “substantial value” mean?,The term “substantial value” means you modify or add to the music in a way that makes it uniquely yours. Simply by adding it to a video or singing lyrics on the song
 Will you always be free or is this for a limited time?,We will always be free and have no plans whatsoever to charge for the site
 How do I change my password?,You can change your password via the “Update Profile” page located here.
 YouTube has flagged my video with your music,Because we don’t create the songs ourselves (we buy them from other composers)
Does the program I plan to use the song in support this format?,Yes
 What file formats is your music available in?,Every song has a WAV
Where can I get a degree in music therapy?,A list of AMTA-approved schools that offer a degree in music therapy can be found on the AMTA website. From the home page
Where do music therapists work?,Music therapists work in psychiatric hospitals
How can music therapy techniques be applied by healthy individuals?,Healthy individuals can use music for stress reduction via active music making
What is the future of music therapy?,The future of music therapy is promising because state of the art music therapy research in physical rehabilitation
Is there research to support music therapy?,AMTA promotes a vast amount of research exploring the benefits of music as therapy through publication of the Journal of Music Therapy
What attributes does one need to be a music therapist?,Personal qualifications include an interest in people and a desire to help others empower themselves. Those who are considering music therapy as a career must be accomplished musicians. A music therapist must be versatile and able to adjust to changing circumstances. Music therapists should demonstrate care and concern and be able to offer emotional support for clients and families. Patience
What is the potential salary of a music therapist?,Each year AMTA members and non-member music therapists are surveyed and our AMTA Member Survey & Workforce Analysis of the profession is published. This includes a descriptive statistical profile of the profession. Music therapists' salaries vary based on location
What do music therapists do?,Music therapists assess emotional well-being
Who can benefit from music therapy?,Children
How is music therapy utilized in nursing homes?,Music is used with elderly persons to increase or maintain their level of physical
How do I become a music therapist?,Those who wish to become music therapists must earn a bachelor’s degree or higher in music therapy from an American Music Therapy Association (AMTA) approved program and have at minimum the entry level credential
What are some misconceptions about music therapy?,That the client or patient has to have some particular music ability to benefit from music therapy -- they do not. That there is one particular style of music that is more therapeutic than all the rest -- this is not the case. All styles of music can be useful in effecting change in a client or patient's life. The individual's preferences
How is music therapy utilized in psychiatric facilities?,Music therapy allows persons with mental health needs to
What is a typical music therapy session like?,Since music therapists serve a wide variety of persons with many different types of needs there is no such thing as an overall typical session. Sessions are designed and music selected based on the individual client's treatment plan. However
What is the history of music therapy as a health care profession?,The idea of music as a healing influence which could affect health and behavior is as least as old as the writings of Aristotle and Plato. The 20th century discipline began after World War I and World War II when community musicians of all types
Where can I find an internship in music therapy?,After completing the required coursework at an approved music therapy degree program
What is Music Therapy?,Music Therapy is the clinical and evidence-based use of music interventions to accomplish individualized goals within a therapeutic relationship by a credentialed professional who has completed an approved music therapy program. (American Music Therapy Association definition
How is music therapy utilized in hospitals?,Music is used in general hospitals to
What is the American Music Therapy Association?,The American Music Therapy Association is the largest professional association which represents over 5
Can I pay for my accommodation in installments?,Yes
Can I stay on Sunday night?,Yes
Is there hot water in the Boutique bathrooms?,The water in the showers is naturally warm.
When can I book Wonder Feasts?,We announce Feasts and release tickets around October or November
How does check-in work?,Your ticket purchase confirmation includes a ticket/QR code. Upon arrival on site
Can I bring my pet?,Dogs are allowed with a pre-paid dog pass.
Can we have more than 2 people in a Safari Duo?,No
How do I receive my tickets?,Upon successful completion of your purchase
Are there lockers on site?,Valuables can be safely stored in a locker located at the Info Tent. Fees apply.
I am not arriving as early as Thursday,Tent pitches are allocated on a first-come first-served basis
How can I volunteer or participate at Wonderfruit?,Applications for volunteers
Can I transfer my Bell Tent/Safari Duo/Boutique RV?,Yes
How does the Wonderfruit cashless payment system work?,Just three simple steps
Can I get a one-day ticket for Friday or Saturday?,No
Can I leave the site and then come back in?,Yes you will be allowed to re-enter the Wonderfruit site as long as you have a valid wristband on. Please note there is no entry when the gates are closed between midnight and 8am (no exceptions).
Can I book Boutique accommodation for less than 4 nights?,No
When can I get a timetable/lineup/programme?,Daily programmes will be available on our website
Is accommodation included in my ticket?,Tickets cover general admission only and do not include accommodation.
I've got a weekend ticket - can I enter on Friday?,No
Can I bring my camera or drone?,You may bring your camera as long as the photos won't be used commercially. Drones are forbidden unless you have applied for and received a permit from Wonderfruit.
How can I DJ or play at Wonderfruit?,Our program curators are always on the lookout for fresh and unique talent from all around the world. If you fit the bill
Can I pay for my boutique accommodation in installments?,Yes
Can I pay for my ticket in installments?,Yes
How can I get to Wonderfruit from Pattaya or my accommodation?,Paid shuttle buses and other transport options between Pattaya and The Fields will be announced around November.
Are there water points on site?,Yes
What time does the music stop?,Wonderfruit has 24 hours of programming every day. It's not on all stages but there is always something on somewhere. The full schedule will be released on the app later in the year.
Can we have more than 4 people in a Bell Tent or Boutique RV?,No
Can I transfer my General Camping pass?,Yes
Why is there a General Camping fee?,The General Camping fee covers the costs of your facilities - this includes areas like the dedicated bathrooms
Will there be sufficient toilets?,We take facilities and comfort very seriously. We have plenty of excellent quality toilets in a number of convenient locations including all camping zones. Please respect the countryside and do not use the woods and bushes.
Are there any medical services on site?,Ambulance and paramedical services will be in attendance 24 hours a day during the event.
Are there any additional fees for using my cashless wristband?,No
Where’s my ticket/wristband?,All tickets will be exchanged for a wristband at the entrance to the site. If you have any ticket enquiries
What is the check-in process for Boutique Camping?,Upon arrival at the Boutique Camping reception
How accessible is the site?,Wonderfruit welcomes people with disabilities and we are constantly working on ways to improve the site and the experience for all. Here are some things that it might be useful for you to know before you arrive
Do I need a ticket if I’m staying in Boutique Camping?,Yes
What is the ticket price for kids?,Entry for children aged 12 and under is free of charge
Are there showers on site?,Showers are available in camping areas. Do be prepared to queue at busy times and bear in mind it may be better to use the showers at off-peak times
When can I check in to Boutique Camping?,You can check in at Boutique reception any time that the gates are open
I have dietary requirements,We do our best to cater to all dietary preferences and ensure a balance of food outlets offering vegan
My friends are staying in Boutique Camping – can we camp with them?,Unfortunately not; no private tents are allowed in the Boutique Camping area.
Do you have wifi?,Out in the gorgeous countryside
What’s in a Safari Duo?,One king-size bed with linens
What types of tickets are available for Wonderfruit?,We think the best way to experience Wonderfruit is to totally immerse yourself for the full festival. However
I want to bring my children (aged 12 or under) – do they need a ticket?,Entry for children aged 12 and under is free but they will receive wristbands upon check-in with a parent or guardian. Under 13s trying to enter without an accompanying adult will be turned away.
Can I bring my own food and drink?,Bringing your own food and soft drinks is permitted only in the camping areas but cooking is prohibited. You will be searched as you exit your campsite to enter the festival grounds
What if there’s credit left on my wristband when I want to leave?,Cash refunds for any remaining credit will be available from top up stations on site at designated times to be announced. Make sure to do so before you leave the site for good.
I’ve booked Boutique Camping,The Boutique Camping area has its own separate entrance and dedicated parking area. Follow signs for Boutique Camping when you arrive on site.
Are there ATMs on site?,Wonderfruit is cashless but ATMs are available at various locations around the site if you want to withdraw cash to top up your wristband.
When I arrive,You can set up your tent in the designated General Camping zone only and you'll need an access pass. This area has a drinking water station
Where can I get a site map?,The site map will be published on the website and app shortly before the event and there will be printed copies available on site.
What’s in the Bell Tents?,Two double beds with linens
Can I transfer my ticket?,Yes
Is there hot water in the campsite bathrooms?,Yes
What times are the gates open?,Gates are open
What’s in the Boutique Camping area?,Besides your fully-furnished tents
Where can I find the First Aid tent?,Medical assistance is available near the Info Tent until 8am Monday 16 December.
What’s in the Boutique RVs?,A double bed and two single bunks with linens
I heard you moved in 2018; where is the new location?,We moved for 2018 and we're sticking to our new home in 2019. Find a map
Where can I charge my phone?,We have charging stations around The Fields. Lots of Wonderers also bring a battery pack to charge their devices on the go.
What are the benefits of Wonderfruit cashless payments?,Your RFID wristband makes it quick and easy to pay for everything you need in The Fields. It's accepted at all bars
Can I get a refund for my ticket?,Tickets are non-refundable; however they are transferable. We’ll release information on how to pre-register your ticket a little nearer to the event and at that time
Are there any age limits?,All ages are welcome; however anyone under the age of 13 MUST be accompanied by a parent
What happens if my wristband is damaged?,We highly recommend your don’t tamper with your wristband as you will need it at all times for entry/re-entry and making all purchases on-site. If your wristband gets damaged
I would like to suggest a new article or an edit to an existing article. What should I do?,We welcome our readers’ feedback! Please contact us with as much detail as possible
How can I tell which articles come from specialized Grove publications?,To reinforce our vision of Grove as a single unified publication
How do I access a NAXOS link?,To access a NAXOS link
Why do the filtering options on my search or browse results keep changing?,Many of these filters are dynamic
How do I cite an article in Grove Music Online?,Grove Music Online is an online resource and the current edition of all previous Grove titles. Citations should follow the online resource practices of your preferred style sheet. If you click the pencil icon to the upper right of any article
What is the difference between Oxford Music Online and Grove Music Online?,Oxford Music Online is a portal for access and cross-search to Grove Music Online and other Oxford University Press reference content in one location. You can also access Grove Music Online separately through its own URL at oxfordmusiconline.com/grovemusic.
How can I perform an advanced search?,Advanced search options are available in the left sidebar of search or browse results list. You can run a quick search
Is Oxford Music Online free,Yes
Can I print content,Yes. You can print and save individual articles to which you have access. To generate a PDF of an individual article
How do I access the Encyclopedia of Popular Music?,The Encyclopedia of Popular Music is now only available on Oxford Reference
Why do some articles include multimedia links at the end?,Multimedia links are editorially-selected recommendations for listening or viewing on one of our partner sites (currently Alexander Street Press and Naxos) and include audio
Which browsers should I use?,Oxford Music Online is designed to display and function correctly on the latest versions of Chrome
Where are the playable Sibelius examples?,Grove Music used to offer playable musical examples supported by the Scorch browser plugin
Will my screen-reader software work?,Oxford Music Online has full W3C Priority 1 and 2 compliance
Do Boolean operators and other search helpers work?,Yes. Common searching commands
How can I see the newest content published online?,You can click this link to see recently published articles.
How much material can I legally print or save to PDF?,You are limited by copyright restrictions to the amount of information you can print and download. It is very important that you read our Privacy Policy and Legal Notice
How do I end a session when connected via IP?,Scroll down to the bottom of any page and click “Sign out” in the bottom right corner. We also advise closing out of the tab once signing out so that a new session isn’t started.
Why can’t a find a composer through search?,We are in the process of removing individual biographies from family articles and publishing them instead on their own article pages so that they may be more easily found and searched. This process can temporarily affect the ranking of the individual biographies within search results. If search results do not display the individual family member you are looking for
Why don’t I see Grove Jazz or Grove Opera articles in search and browse results?,We have grouped together under a single search result articles on a single topic so that you can get to our primary treatment of the subject first. Any additional articles
Where can I find information about abbreviations in Grove articles?,Click here for lists of abbreviations. Bibliographic abbreviations or sigla that display their expansions when clicked can be found on the Abbreviations pages
What does my Oxford Music Online subscription include?,Your subscription to Oxford Music Online includes Grove Music Online
I would like to reuse or reproduce excerpts from Grove Music Online. Do I need to get permission?,Yes
What is your policy on third party data mining?,OUP recognizes the research benefit of Text and Data Mining (TDM) across a variety of research fields. As such
 Will I be able to select the songs to be played by the band?,"Yes. You can pick the songs from our existing song repertoire (sent via email or accessible under ""Video Showcase"" tab) or add in the ones you prefer if they are not already in the list."
 Can I have a preview of the live band at any venues?,There are a few options if you would like to have a preview of the band. 1) Coming down to one of our soundchecks prior to the start of the events & celebration. We will fill your in on the schedule. 2) Have a preferred singer in mind? Let us know and we will keep you updated with the singer's regular singing schedule at the various live music outlets in Singapore. Feel free to go down to these venue to have a listen to him/her!
 Why should I engage White Ribbon Live Music?,Affordable and competitive charges Having live music performances at your wedding/event is now more consumer-friendly with our competitively-priced live music packages
 How do I make a booking?,To make a booking
 Can I select my preferred singer?,You can select your preferred singer from our list of singers. Do note that it is subjected to the singer's availability on the date. In the event that your appointed singer has urgent matters to attend to on the engagement date
 What time will the band arrive on the day?,Live band will arrive at 1130am for soundcheck for lunch celebrations and 6pm for soundcheck for dinner celebrations. These timings are based on the usual celebrations. Do let us know if your celebration is not at the usual timings and we will arrive 60-90mins earlier accordingly. If sound system is engaged from us
 How do I make the remaining payment?,Remaining balance can be paid via cheque
 What instruments do your musicians play?,Our musicians can play piano
 What do I have to do after I have placed my deposit with White Ribbon?,Hiring a live band is hassle free
 What combination of instruments can I have for the band size I've opted for?,Instrumentation of the band is dependant on your song choices as well as the song genre (jazz
 Can I have the price list for your live music packages?,Most certainly! Drop us an email at services@whiteribbon.sg and we will get back to you in no time. Prices for the live music packages vary according the size of band e.g. 3-pc
 Is it mandatory to engage external sound system?,Yes. It is mandatory to hire sound system setup from us. 99% of our clients opt for this sound system package. We strictly do not profit from the sound system as the set-up is done by external sound company. Having a professional live band at your wedding celebration is an excellent entertainment for you & your guests. It adds a touch of sophistication
 Will your singers be able to double up as emcees for my wedding celebration?,Yes. Some of our singers are able to double up as emcees for your celebration. An additional $150 is applicable.
 Can I meet up with anyone to firm up some details before placing a deposit?,We do believe in personalised services so a meet-up can be arranged with one our staff or our co-founders. Do note that a meet up is not necessary as confirmation of our live band service is done via online correspondence 80% of the time. Having said so
 Any cancellation policy?,There will be no refund of deposit in any circumstances. By placing the deposit of $500
 Can the band sing my march-in songs?,Most definitely. Singing for your march-in is part of all our packages.
 Can I request for a special song to be performed during my wedding?,Sure! We can work out a song list with the special songs you would like to be included and sung on your big day. We welcome you to sing and dedicate a song to your loved ones on this special day too. Your guests can also feel free to make song requests and dedications during the celebration at no additional costs! An additional charge is applicable only if rehearsal with the band on a separate is required. No additional charge if you can go through your customised requests with the band on the day of the celebration during the sound check.
